Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,date
https://twitter.com/banklessDAO/status/1408189829851009030,"Four more votes until 500 total! 

https://t.co/QxII39X8Qz",2021-06-24 22:26 +0000,1531,104,0.06792945787067277,2021-06-24
https://twitter.com/banklessDAO/status/1408179650757599234,"Doo doo doo doo, nothing to see here folks. https://t.co/majnRdLcla",2021-06-24 21:46 +0000,2217,28,0.012629679747406405,2021-06-24
https://twitter.com/banklessDAO/status/1408142924660064257,"I'm ashamed to say that it took me this long to understand EIP1559. Props to @banklesscz and @humptycalderon for making crypto easy to understand!

https://t.co/IiYmp5hrQm",2021-06-24 19:20 +0000,2796,193,0.0690271816881259,2021-06-24
https://twitter.com/banklessDAO/status/1408133776971026435,"CT, BanklessDAO needs your help. What wallet has the best UX for crypto newbies? Preferably with a fiat onramp. (Does this have to do with $BED 🛏️Index? Hmmm.....) 🙏",2021-06-24 18:43 +0000,16506,684,0.04143947655398037,2021-06-24
https://twitter.com/banklessDAO/status/1408103333815062536,Cracking a cold one with the boys in London. Peep the @Uniswap shirt 👀 https://t.co/XFgLmDcdtZ,2021-06-24 16:42 +0000,3172,469,0.1478562421185372,2021-06-24
https://twitter.com/banklessDAO/status/1408103000720162823,@MrsBadgerface @zashtonEth @coordinape It's also incredibly fun to see the social graph of allocations in real time. Also the psychological aspect of a community of peers deciding compensation and not an arbitrary leader/group.,2021-06-24 16:41 +0000,84,8,0.09523809523809523,2021-06-24
https://twitter.com/banklessDAO/status/1408062467645739016,"Somos una comunidad descentralizada que impulsa la adopción y el conocimiento de los sistemas de dinero sin bancos como Ethereum, Bitcoin y DeFi a través de los medios, la cultura y la educación
#gobankless https://t.co/CQ3ADDzyIX",2021-06-24 14:00 +0000,1980,46,0.023232323232323233,2021-06-24
https://twitter.com/banklessDAO/status/1404079363335852033,https://t.co/X9I8PeBPUo,2021-06-13 14:13 +0000,22637,557,0.02460573397535009,2021-06-13
https://twitter.com/banklessDAO/status/1403891476225007620,Don't leave Ugandan knuckles hanging https://t.co/VPxHGdmqnL,2021-06-13 01:46 +0000,3028,28,0.009247027741083224,2021-06-13
https://twitter.com/banklessDAO/status/1403802434896601091,"The Bankless $BED Index passed through @indexcoop decision gate #2. Equally weighted between BTC, ETH, &amp; DPI, BanklessDAO will receive 0.125% fees streamed directly to its Treasury. We did it!

https://t.co/ip2C6VyZpC",2021-06-12 19:52 +0000,30924,720,0.023282887077997673,2021-06-12
https://twitter.com/banklessDAO/status/1403521860810199040,@EthereumEhrlich @RyanSAdams @BanklessHQ @TrustlessState At least 3,2021-06-12 01:17 +0000,619,11,0.017770597738287562,2021-06-12
https://twitter.com/banklessDAO/status/1403466413088542721,"This week was 🔥🔥🔥

- Season 1 Spec proposed 📃
- Bankless BED index set to pass on @indexcoop ✅
- Kicked off Season 0 NFT Auction 🖼️
- BANK/ETH added to @SushiSwap Onsen 🍣 

Catch up on all things Bankless DAO👇
https://t.co/iEgVPJ1ztF",2021-06-11 21:37 +0000,13819,288,0.020840871264201463,2021-06-11
https://twitter.com/banklessDAO/status/1403443040480632837,"Do u kno de WEI *CLUCKING*

https://t.co/CYexiclCiO https://t.co/nSPwoN43R8",2021-06-11 20:04 +0000,5105,74,0.014495592556317336,2021-06-11
https://twitter.com/banklessDAO/status/1403434794042609664,👀 https://t.co/42VJ6hBFTk,2021-06-11 19:31 +0000,4212,58,0.013770180436847104,2021-06-11
https://twitter.com/banklessDAO/status/1403417003449331718,"Our FIRST NFT auction is now LIVE on 🎉🎉🎉https://t.co/E3qGirsOS7

These NFTS were minted in Season 0 and are single edition. Stake your claim in history by owning the very first BanklessDAO NFTs. 

Featured artist of the week: @thecryptobushi https://t.co/252TYKBFzL",2021-06-11 18:21 +0000,82438,1106,0.013416143040830684,2021-06-11
https://twitter.com/banklessDAO/status/1403366526749659156,"And we're live! Community Call #5
https://t.co/a4wJVdCfLD",2021-06-11 15:00 +0000,2195,60,0.02733485193621868,2021-06-11
https://twitter.com/banklessDAO/status/1403364744032141313,"@atxjoseph I suspect many people will move to rollups for this exact reason. But right now, Polygon is a functional L2 with giant yields.",2021-06-11 14:53 +0000,69,5,0.07246376811594203,2021-06-11
https://twitter.com/banklessDAO/status/1403362414914150402,@atxjoseph https://t.co/tFpBz5XxdX,2021-06-11 14:44 +0000,52,6,0.11538461538461539,2021-06-11
https://twitter.com/banklessDAO/status/1403359607708344324,"Community Call #5 in 30 minutes!⌚ Today's topic is project updates on NFT Drops, $BED Index, POAPs, Liquity, and some fun internal projects.",2021-06-11 14:32 +0000,2688,48,0.017857142857142856,2021-06-11
https://twitter.com/banklessDAO/status/1403332303720521728,@Hoahamho1 At 11am EDT! In a little over 2 hours on Discord.,2021-06-11 12:44 +0000,36,2,0.05555555555555555,2021-06-11
https://twitter.com/banklessDAO/status/1403310555033702404,165 average POAP claims per community call 😲😱 https://t.co/V6mo5yQTr2,2021-06-11 11:18 +0000,3141,55,0.017510347023241005,2021-06-11
https://twitter.com/banklessDAO/status/1403157680978640900,"So did you do it? Did you fly the 🏴
Follow the BanklessDAO 🏴 Bearer list and join the crew!

https://t.co/RvAu44apnm https://t.co/WtGkdMDaSY",2021-06-11 01:10 +0000,3378,115,0.03404381290704559,2021-06-11
https://twitter.com/banklessDAO/status/1403129806993203202,"From BanklessDAO values: ""We reward action and embrace risk""

https://t.co/ta7US5S8xY https://t.co/ltl3OGIXEi",2021-06-10 23:19 +0000,2123,153,0.07206782854451248,2021-06-10
https://twitter.com/banklessDAO/status/1403114984511610881,"⚠️Snapshot #4 ends in just over 24 hours. Our previous low for engagement was 30M $BANK. We're sitting pretty at 20M now. Go VOTE! 🗳️☑️

https://t.co/VYaZiykIHi",2021-06-10 22:20 +0000,3269,272,0.08320587335576629,2021-06-10
https://twitter.com/banklessDAO/status/1403079797945815044,"@TrustlessState and @RyanSAdams break down @RaoulGMI's take on DeFi surviving the latest market crash 📉
https://t.co/BOZ87zlKHo",2021-06-10 20:01 +0000,15484,195,0.012593645052957892,2021-06-10
https://twitter.com/banklessDAO/status/1403049863877644290,"@BanklessBR uploaded their first Instagram post. Give them a like and follow to show some local love 🇧🇷 #gobankless
https://t.co/92gMGpPdaU",2021-06-10 18:02 +0000,158,16,0.10126582278481013,2021-06-10
https://twitter.com/banklessDAO/status/1403008550381789201,@Sim_Pop @owocki @SCBuergel Is marketingDAO what it sounds like? Marketing focused version of RaidGuild?,2021-06-10 15:17 +0000,145,2,0.013793103448275862,2021-06-10
https://twitter.com/banklessDAO/status/1402978132186050565,"@travpreneur @henlojseam We're a protocol in that we use on chain voting and are a Uni fork, but most of the consensus happens at the social layer. In time we'll bring more and more activities on chain.",2021-06-10 13:17 +0000,55,6,0.10909090909090909,2021-06-10
https://twitter.com/banklessDAO/status/1402769855003213827,@LandoSats @TrustlessState https://t.co/8IPCjWaVB2,2021-06-09 23:29 +0000,226,7,0.030973451327433628,2021-06-09
https://twitter.com/banklessDAO/status/1402762517882052612,"🏴BEAR THE BANNER!🏴

Below is the inspiration behind the black flag, and why we wear it, by @TrustlessState. 

Add the 🏴 to your social media profiles, and show you’re a part of the Bankless Nation and get people to notice the movement to #gobankless https://t.co/z4UxOUBrgv",2021-06-09 23:00 +0000,33239,737,0.022172748879328498,2021-06-09
https://twitter.com/banklessDAO/status/1402731225492512768,"Bankless DAO member quits TradFi job and joins Bitwise as DeFi Specialist. 

#ThisIsTheWei https://t.co/ukFzIvIudF",2021-06-09 20:56 +0000,14750,99,0.006711864406779661,2021-06-09
